5,"[10, 20, 20, 10, 50, 50, 5, 100, 100, 5]","[0.3258126891568382, 0.4545440322740496, 0.44685442480278353, 0.3152968647991568, 0.52492933722305, 0.5028284593878634, 0.22543104557483584, 0.453566545101385, 0.44509585072227903, 0.16719270751340784]"
100,"[5, 5, 10, 20, 10, 50, 20, 50, 100, 100]","[0.47850529947663417, 0.44450654247496, 0.41599985106111553, 0.4016405435607379, 0.39854184759449135, 0.4373054933789078, 0.379483998010144, 0.31216768539605827, 0.21759952257018023, 0.18070667948221505]"
100,"[5, 5, 10, 10, 20, 50, 20, 50, 100, 100]","[0.5328202324575168, 0.4926414311248487, 0.4440240278071368, 0.43151683354782844, 0.3726276343506506, 0.4745024483182703, 0.35015714431371425, 0.3068666547596402, 0.22943004836077774, 0.19060647671669786]"
100,"[5, 5, 10, 10, 20, 50, 20, 50, 100, 100]","[0.4966515557224294, 0.46075520560384636, 0.4158899185619161, 0.4041308890689945, 0.39402319870369146, 0.4404167640091698, 0.36069231794573453, 0.30296556791486123, 0.22445582500894115, 0.18375237803575215]"
100,"[5, 5, 20, 10, 20, 10, 50, 50, 100, 100]","[0.47634839185689565, 0.4651088889785517, 0.4113188276952345, 0.4042617120640079, 0.39955899677770945, 0.3927961199900385, 0.38606782991313443, 0.30031329627895303, 0.20901936632878423, 0.13073590855912587]"
100,"[5, 5, 10, 10, 20, 50, 20, 50, 100, 100]","[0.5203808029141853, 0.48176302445202873, 0.42946416241998325, 0.4155241078050555, 0.38251742230429864, 0.46183973215380103, 0.36261211559019924, 0.312399242359144, 0.20671750658467225, 0.1723662953150086]"
100,"[5, 5, 20, 10, 20, 50, 10, 50, 100, 100]","[0.4691011436332725, 0.4480402693664817, 0.39458816864728263, 0.38953116395617116, 0.37936550467276703, 0.3897784261847233, 0.37606679160614037, 0.2870749440310779, 0.1892741127824463, 0.1411731073945562]"
100,"[5, 5, 10, 10, 20, 50, 20, 50, 100, 100]","[0.4996307302086796, 0.46258485326778587, 0.41113573475101944, 0.39513224774626776, 0.37319371782160754, 0.44681098826983917, 0.34797763246374497, 0.31785639943275995, 0.2083824204324376, 0.1648510903339381]"
0,"[5, 5, 10, 20, 50, 50, 20, 10, 100, 100]","[0.4433059740154471, 0.4289530604920409, 0.4184653730838814, 0.3855992617447841, 0.40283782387837486, 0.46023760255630275, 0.38514114358023066, 0.37314237775683345, 0.3495213837760175, 0.3309305226124132]"
0,"[5, 5, 20, 10, 50, 50, 20, 100, 100, 10]","[0.45974399338718014, 0.42960771375787676, 0.4221465538837277, 0.4168906610734838, 0.4636969473887726, 0.4844109298232246, 0.3938291044298652, 0.3857021203143483, 0.40328868555216096, 0.3595339159805789]"
0,"[5, 5, 10, 10, 50, 50, 20, 100, 100, 20]","[0.45693783750700057, 0.4312277181943059, 0.39077998151641596, 0.3906149099158341, 0.4233339786634156, 0.49038676854995944, 0.3075243961844321, 0.3601783745474585, 0.34278687286485515, 0.2595701817759446]"
5,"[10, 20, 20, 10, 50, 50, 5, 100, 100, 5]","[0.327011014307888, 0.4642969595193292, 0.46684679242119587, 0.31483144636891824, 0.5430517783597038, 0.5070789069494516, 0.20631739392635126, 0.47129173956717174, 0.45948866358892115, 0.2001341701170652]"
0,"[5, 5, 10, 10, 50, 50, 20, 100, 100, 20]","[0.5339493473606635, 0.5098203233769412, 0.4562379075154247, 0.4523317719447727, 0.4513940505942919, 0.5305984821969091, 0.34805428372832947, 0.40114529353319206, 0.3872577921607586, 0.285502621902563]"
